epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,414.831,1.324,1.65391,1.17698,0.5202,0.32225,0.33533,0.22026,1.36266,1.4508,1.15529,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288
2,739.054,1.4297,1.86373,1.23014,0.47212,0.30187,0.30732,0.20046,1.39636,1.53172,1.191,0.0198007,0.00660022,0.0198007,0.00660022,0.0198007,0.00660022,0.0198007,0.00660022
3,1029.74,1.50406,2.0406,1.27486,0.49083,0.28839,0.28745,0.18659,1.40808,1.58326,1.20879,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156
4,1308.55,1.50702,2.04923,1.28178,0.47463,0.30068,0.30113,0.1969,1.38725,1.54088,1.20001,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1582.68,1.45933,1.94535,1.25715,0.50118,0.30875,0.31766,0.20952,1.3592,1.49104,1.18356,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1858.03,1.4377,1.88766,1.24224,0.49491,0.3191,0.32533,0.2157,1.34537,1.46291,1.17399,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2133.91,1.42162,1.85362,1.23409,0.49287,0.32337,0.33057,0.22035,1.33714,1.44829,1.1687,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2409.68,1.41325,1.82594,1.22757,0.49867,0.32603,0.33428,0.22316,1.33187,1.43875,1.16541,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2685.08,1.40545,1.80834,1.22307,0.50203,0.32597,0.33743,0.22536,1.32863,1.4334,1.16392,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2960.2,1.40002,1.79331,1.21915,0.51077,0.32569,0.33946,0.22704,1.32491,1.42763,1.16118,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3235.81,1.39367,1.7862,1.21662,0.51412,0.32659,0.34164,0.22869,1.32163,1.42175,1.15893,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3512.66,1.38946,1.77211,1.214,0.51863,0.32704,0.34399,0.23034,1.31809,1.41559,1.15634,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3790.44,1.38746,1.76493,1.2117,0.52005,0.32814,0.34604,0.23225,1.31492,1.40821,1.15417,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4069.35,1.38636,1.75573,1.21046,0.52234,0.32726,0.3482,0.2336,1.3122,1.39984,1.15225,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4348.22,1.38191,1.74923,1.20719,0.52911,0.32743,0.35048,0.23495,1.31064,1.39201,1.15103,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4645.64,1.38005,1.74364,1.20612,0.52157,0.33255,0.35218,0.2364,1.30801,1.38302,1.14862,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4948.62,1.37866,1.73796,1.20398,0.52208,0.33341,0.35433,0.23827,1.30645,1.37637,1.14689,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5258.14,1.37691,1.73677,1.20394,0.5197,0.33807,0.35641,0.23956,1.30432,1.36967,1.14496,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5563,1.37515,1.73356,1.20331,0.5167,0.34055,0.35774,0.24056,1.30355,1.36444,1.14391,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5844.17,1.37302,1.72715,1.20139,0.51936,0.34191,0.35892,0.2415,1.30276,1.36047,1.14295,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6126.23,1.37031,1.72342,1.20036,0.51635,0.34415,0.36029,0.24238,1.30178,1.35684,1.14197,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6408.6,1.3694,1.72184,1.19952,0.51638,0.34628,0.36186,0.24343,1.30092,1.35292,1.14053,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6689.53,1.36856,1.71519,1.19925,0.51705,0.34923,0.36261,0.24396,1.30058,1.35035,1.13999,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6970.44,1.36656,1.71093,1.19796,0.52034,0.34855,0.36376,0.24498,1.29971,1.34647,1.1393,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7251.65,1.36378,1.70712,1.19634,0.51593,0.35292,0.36476,0.24573,1.29907,1.34402,1.13857,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7532.98,1.36421,1.71008,1.19745,0.52081,0.35375,0.36635,0.24673,1.29846,1.34089,1.13764,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
